C—digo,Clave,Descripci—n,Caja,Master,Unidad,C—gido EAN,Precio Publico con iVA,Precio Publico sin iVA,Precio Mayoreo con IVA,Precio Mayoreo sin IVA,Precio Subdistribuidor con IVA,Precio Subdistribuidor sin IVA,Precio Distribuidor con IVA,Precio Distribuidor sin IVA,Marca,Codigo SAT,Descripcion SAT
10667,ABT-779,"Disco para desbaste de metal, tipo 27, diámetro 9'",5,30,Pieza,7506240620471,88,75.86,76,65.52,67,57.76,59,50.86,Truper,31191506,Discos abrasivos
11565,ABT-780,"Disco p/corte metale, tipo42, diámetro 7', alto rendimiento",5,30,Pieza,7501206674109,58,50,50,43.1,45,38.79,39,33.62,Truper,31191506,Discos abrasivos
11554,ABT-782,"Disco p/corte metale, tipo42, diámetro 9', alto rendimiento",5,30,Pieza,7501206674093,82,70.69,72,62.07,63,54.31,55,47.41,Truper,31191506,Discos abrasivos
10666,ABT-783,"Disco para corte de metal, tipo 42, diámetro 7'",5,30,Pieza,7506240620532,42,36.21,35,30.17,32,27.59,27,23.28,Truper,31191506,Discos abrasivos
12564,ABT-784,"Disco para corte de metal, tipo 42, diámetro 9'",5,30,Pieza,7501206622209,60,51.72,52,44.83,46,39.66,40,34.48,Truper,31191506,Discos abrasivos
10664,ABT-786,"Disco para corte de metal, tipo 41, diámetro 4-1/2'",5,30,Pieza,7506240621430,18,15.52,16,13.79,14,12.07,12,10.34,Truper,31191506,Discos abrasivos
10665,ABT-787,"Disco para corte de metal, tipo 41, diámetro 7'",5,30,Pieza,7506240621447,42,36.21,35,30.17,32,27.59,27,23.28,Truper,31191506,Discos abrasivos
12572,ABT-791,"Disco p/corte de metal, tipo 41, diámetro 9', usos generales",5,30,Pieza,7506240621454,63,54.31,54,46.55,48,41.38,42,36.21,Truper,31191506,Discos abrasivos
10660,ABT-875,"Disco 'Sable' corte extrafino acero inoxidable, tipo 42, 7'",5,30,Pieza,7506240621386,57,49.14,49,42.24,44,37.93,38,32.76,Truper,31191506,Discos abrasivos
10661,ABT-876,"Disco 'Sable' corte extrafino acero inoxidable, tipo 42, 9'",5,30,Pieza,7506240621393,82,70.69,72,62.07,63,54.31,55,47.41,Truper,31191506,Discos abrasivos
12567,ABT-999,"Disco para desbaste de metal, tipo 27, diámetro 7', 1/4'",5,30,Pieza,7501206622223,63,54.31,54,46.55,48,41.38,42,36.21,Truper,31191506,Discos abrasivos
14318,AC-PF,Adaptador de protector facial para casco,5,20,Pieza,7506240647331,82,70.69,72,62.07,63,54.31,55,47.41,Truper,46181700,Protectores de cara y cabeza
19511,AC-PIPI-200,"Accesorios (llave, cepillo, tuerca y espiga) p/PIPI-26 y 27",6,36,Set,7506240664437,52,44.83,46,39.66,40,34.48,35,30.17,Truper,31162800,Ferretería en general
20000,ACA-6,"Arco calador para segueta 6', Pretul",6,36,Pieza,7501206640098,145,125,125,107.76,109,93.97,95,81.9,Pretul,27111500,Herramientas de corte y engarzado y punzones
10221,ACA-6X,Arco calador para segueta 6',6,36,Pieza,7501206671467,205,176.72,175,150.86,155,133.62,135,116.38,Truper,27111500,Herramientas de corte y engarzado y punzones
14870,ACEF-180,"Aceitera de pipeta flexible, 180 ml",6,36,Pieza,7501206684146,82,70.69,72,62.07,63,54.31,55,47.41,Truper,40141736,Graseras (de lubricación)
14872,ACEF-300,"Aceitera de pipeta flexible, 300 ml",6,36,Pieza,7501206684160,97,83.62,84,72.41,74,63.79,65,56.03,Truper,40141736,Graseras (de lubricación)
